Run,Best Fitness,Circuit Length
1,1.1666666666666667,6
2,1.1666666666666667,6
3,1.1666666666666667,6
4,1.1666666666666667,6
5,1.1111111111111112,9
6,1.1666666666666667,6
7,1.1666666666666667,6
8,1.1666666666666667,6
9,1.1428571428571428,7
10,1.1666666666666667,6
11,1.1111111111111112,9
12,1.1666666666666667,6
13,1.1666666666666667,6
14,1.1666666666666667,6
15,1.1666666666666667,6
16,1.1666666666666667,6
17,1.1666666666666667,6
18,1.1666666666666667,6
19,1.1428571428571428,7
20,1.1666666666666667,6
